From,To,rideTime
1,5,2020-04-05
2,14,2020-04-07
3,2,2020-04-04
4,12,2020-04-08
5,14,2020-04-02
6,18,2020-04-07
7,3,2020-04-02
8,14,2020-04-04
9,12,2020-04-08
10,7,2020-04-06
11,17,2020-04-01
12,14,2020-04-10
13,2,2020-04-05
14,3,2020-04-10
15,1,2020-04-07
16,4,2020-04-03
17,6,2020-04-01
18,7,2020-04-05
19,5,2020-04-03
20,7,2020-04-05
21,3,2020-04-05
22,14,2020-04-05
23,4,2020-04-04
24,7,2020-04-09
25,11,2020-04-01
26,15,2020-04-06
27,2,2020-04-09
28,13,2020-04-08
29,19,2020-04-03
30,9,2020-04-05
31,9,2020-04-06
32,8,2020-04-03
33,15,2020-04-04
34,9,2020-04-05
35,13,2020-04-05
36,3,2020-04-02
37,15,2020-04-01
38,16,2020-04-02
39,6,2020-04-10
40,7,2020-04-05
41,17,2020-04-09
42,8,2020-04-04
43,10,2020-04-10
44,6,2020-04-09
45,18,2020-04-01
46,15,2020-04-04
47,3,2020-04-06
48,5,2020-04-04
49,10,2020-04-09
50,17,2020-04-03
51,13,2020-04-04
52,16,2020-04-03
53,13,2020-04-01
54,9,2020-04-03
55,14,2020-04-07
56,11,2020-04-10
57,8,2020-04-09
58,15,2020-04-04
59,16,2020-04-03
60,1,2020-04-04
61,13,2020-04-05
62,18,2020-04-10
63,2,2020-04-08
64,7,2020-04-01
65,20,2020-04-08
66,1,2020-04-06
67,17,2020-04-03
68,9,2020-04-08
69,10,2020-04-10
70,11,2020-04-07
71,11,2020-04-08
72,1,2020-04-06
73,14,2020-04-10
74,12,2020-04-05
75,7,2020-04-04
76,2,2020-04-10
77,7,2020-04-09
78,16,2020-04-09
79,15,2020-04-01
80,9,2020-04-07
81,11,2020-04-03
82,1,2020-04-08
83,17,2020-04-03
84,9,2020-04-06
85,14,2020-04-01
86,1,2020-04-10
87,12,2020-04-03
88,4,2020-04-09
89,15,2020-04-02
90,9,2020-04-03
91,13,2020-04-06
92,3,2020-04-06
93,3,2020-04-10
94,5,2020-04-03
95,16,2020-04-09
96,12,2020-04-08
97,19,2020-04-09
98,7,2020-04-02
99,1,2020-04-08
100,16,2020-04-05
101,19,2020-04-01
102,12,2020-04-07
103,4,2020-04-10
104,20,2020-04-10
105,16,2020-04-08
106,5,2020-04-02
107,17,2020-04-10
108,2,2020-04-07
109,3,2020-04-06
110,10,2020-04-02
111,17,2020-04-01
112,3,2020-04-02
113,19,2020-04-02
114,17,2020-04-02
115,11,2020-04-02
116,8,2020-04-09
117,1,2020-04-07
118,14,2020-04-05
119,18,2020-04-08
120,5,2020-04-04
121,6,2020-04-08
122,18,2020-04-09
123,18,2020-04-04
124,9,2020-04-10
125,5,2020-04-09
126,15,2020-04-09
127,19,2020-04-08
128,18,2020-04-07
129,6,2020-04-09
130,17,2020-04-09
131,14,2020-04-08
132,15,2020-04-10
133,5,2020-04-05
134,9,2020-04-07
135,2,2020-04-06
136,1,2020-04-09
137,1,2020-04-09
138,18,2020-04-02
139,11,2020-04-06
140,18,2020-04-07
141,4,2020-04-01
142,14,2020-04-06
143,19,2020-04-03
144,18,2020-04-05
145,18,2020-04-07
146,15,2020-04-03
147,3,2020-04-08
148,10,2020-04-02
149,4,2020-04-01
150,12,2020-04-02
151,19,2020-04-01
152,8,2020-04-01
153,14,2020-04-05
154,9,2020-04-06
155,2,2020-04-08
156,7,2020-04-06
157,7,2020-04-10
158,11,2020-04-05
159,15,2020-04-06
160,10,2020-04-04
161,10,2020-04-10
162,17,2020-04-04
163,12,2020-04-06
164,7,2020-04-07
165,16,2020-04-06
166,4,2020-04-02
167,5,2020-04-07
168,19,2020-04-07
169,6,2020-04-08
170,18,2020-04-01
171,14,2020-04-05
172,20,2020-04-10
173,9,2020-04-05
174,8,2020-04-02
175,1,2020-04-06
176,9,2020-04-04
177,9,2020-04-09
178,19,2020-04-09
179,18,2020-04-08
180,12,2020-04-09
181,19,2020-04-09
182,8,2020-04-07
183,19,2020-04-08
184,8,2020-04-04
185,19,2020-04-04
186,1,2020-04-07
